Instrument,Date,Time,Open,High,Low,Close
Banknifty,03-08-2000,0:00:00,1006.1,1006.1,1006.1,1006.1
Banknifty,04-08-2000,0:00:00,1009.51,1009.51,1009.51,1009.51
Banknifty,07-08-2000,0:00:00,986.89,986.89,986.89,986.89
Banknifty,08-08-2000,0:00:00,1017.43,1017.43,1017.43,1017.43
Banknifty,09-08-2000,0:00:00,1009.9,1009.9,1009.9,1009.9
Banknifty,10-08-2000,0:00:00,1001.34,1001.34,1001.34,1001.34
Banknifty,11-08-2000,0:00:00,994.6,994.6,994.6,994.6
Banknifty,14-08-2000,0:00:00,991.83,991.83,991.83,991.83
Banknifty,16-08-2000,0:00:00,1008.41,1008.41,1008.41,1008.41
Banknifty,17-08-2000,0:00:00,999.36,999.36,999.36,999.36
Banknifty,18-08-2000,0:00:00,987.1,987.1,987.1,987.1
Banknifty,21-08-2000,0:00:00,981.29,981.29,981.29,981.29
Banknifty,22-08-2000,0:00:00,975.52,975.52,975.52,975.52
Banknifty,23-08-2000,0:00:00,985.4,985.4,985.4,985.4
Banknifty,24-08-2000,0:00:00,981.2,981.2,981.2,981.2
Banknifty,25-08-2000,0:00:00,994.7,994.7,994.7,994.7
Banknifty,28-08-2000,0:00:00,995.55,995.55,995.55,995.55
Banknifty,29-08-2000,0:00:00,989.37,989.37,989.37,989.37
Banknifty,30-08-2000,0:00:00,1006.13,1006.13,1006.13,1006.13
Banknifty,31-08-2000,0:00:00,1003.07,1003.07,1003.07,1003.07
Banknifty,04-09-2000,0:00:00,1015.61,1015.61,1015.61,1015.61
Banknifty,05-09-2000,0:00:00,1027.16,1027.16,1027.16,1027.16
Banknifty,06-09-2000,0:00:00,1036.57,1036.57,1036.57,1036.57
Banknifty,07-09-2000,0:00:00,1035.05,1035.05,1035.05,1035.05
Banknifty,08-09-2000,0:00:00,1044.64,1044.64,1044.64,1044.64
Banknifty,11-09-2000,0:00:00,1039.26,1039.26,1039.26,1039.26
Banknifty,12-09-2000,0:00:00,1029.97,1029.97,1029.97,1029.97
Banknifty,13-09-2000,0:00:00,997.74,997.74,997.74,997.74
Banknifty,14-09-2000,0:00:00,987.66,987.66,987.66,987.66
Banknifty,15-09-2000,0:00:00,959.49,959.49,959.49,959.49
Banknifty,18-09-2000,0:00:00,920.64,920.64,920.64,920.64
Banknifty,19-09-2000,0:00:00,938.91,938.91,938.91,938.91
Banknifty,20-09-2000,0:00:00,945.15,945.15,945.15,945.15
Banknifty,21-09-2000,0:00:00,937.44,937.44,937.44,937.44
Banknifty,22-09-2000,0:00:00,908.28,908.28,908.28,908.28
Banknifty,25-09-2000,0:00:00,925.06,925.06,925.06,925.06
Banknifty,26-09-2000,0:00:00,917.41,917.41,917.41,917.41
Banknifty,27-09-2000,0:00:00,915.51,915.51,915.51,915.51
Banknifty,28-09-2000,0:00:00,901.51,901.51,901.51,901.51
Banknifty,29-09-2000,0:00:00,907.53,907.53,907.53,907.53
Banknifty,03-10-2000,0:00:00,892.85,892.85,892.85,892.85
Banknifty,04-10-2000,0:00:00,890.22,890.22,890.22,890.22
Banknifty,05-10-2000,0:00:00,870.77,870.77,870.77,870.77
Banknifty,06-10-2000,0:00:00,866.04,866.04,866.04,866.04
Banknifty,09-10-2000,0:00:00,870.42,870.42,870.42,870.42
Banknifty,10-10-2000,0:00:00,852.46,852.46,852.46,852.46
Banknifty,11-10-2000,0:00:00,850.27,850.27,850.27,850.27
Banknifty,12-10-2000,0:00:00,859.34,859.34,859.34,859.34
Banknifty,13-10-2000,0:00:00,856.54,856.54,856.54,856.54
Banknifty,16-10-2000,0:00:00,860.21,860.21,860.21,860.21
Banknifty,17-10-2000,0:00:00,851.15,851.15,851.15,851.15
Banknifty,18-10-2000,0:00:00,844.74,844.74,844.74,844.74
Banknifty,19-10-2000,0:00:00,857.21,857.21,857.21,857.21
Banknifty,20-10-2000,0:00:00,857.09,857.09,857.09,857.09
Banknifty,23-10-2000,0:00:00,831.77,831.77,831.77,831.77
Banknifty,24-10-2000,0:00:00,829.96,829.96,829.96,829.96
Banknifty,25-10-2000,0:00:00,841.28,841.28,841.28,841.28
Banknifty,26-10-2000,0:00:00,850.29,850.29,850.29,850.29
Banknifty,27-10-2000,0:00:00,845.39,845.39,845.39,845.39
Banknifty,30-10-2000,0:00:00,846.09,846.09,846.09,846.09
Banknifty,31-10-2000,0:00:00,861.27,861.27,861.27,861.27
Banknifty,01-11-2000,0:00:00,885.52,885.52,885.52,885.52
Banknifty,02-11-2000,0:00:00,898.8,898.8,898.8,898.8
Banknifty,03-11-2000,0:00:00,908.43,908.43,908.43,908.43
Banknifty,06-11-2000,0:00:00,910.51,910.51,910.51,910.51
Banknifty,07-11-2000,0:00:00,908.01,908.01,908.01,908.01
Banknifty,08-11-2000,0:00:00,915.42,915.42,915.42,915.42
Banknifty,09-11-2000,0:00:00,908.7,908.7,908.7,908.7
Banknifty,10-11-2000,0:00:00,897.58,897.58,897.58,897.58
Banknifty,13-11-2000,0:00:00,878.06,878.06,878.06,878.06
Banknifty,14-11-2000,0:00:00,897.31,897.31,897.31,897.31
Banknifty,15-11-2000,0:00:00,930.34,930.34,930.34,930.34
Banknifty,16-11-2000,0:00:00,949.6,949.6,949.6,949.6
Banknifty,17-11-2000,0:00:00,919.39,919.39,919.39,919.39
Banknifty,20-11-2000,0:00:00,919.12,919.12,919.12,919.12
Banknifty,21-11-2000,0:00:00,910.35,910.35,910.35,910.35
Banknifty,22-11-2000,0:00:00,912.87,912.87,912.87,912.87
Banknifty,23-11-2000,0:00:00,900.45,900.45,900.45,900.45
Banknifty,24-11-2000,0:00:00,909.55,909.55,909.55,909.55
Banknifty,27-11-2000,0:00:00,937.83,937.83,937.83,937.83
Banknifty,28-11-2000,0:00:00,958.16,958.16,958.16,958.16
Banknifty,29-11-2000,0:00:00,944.23,944.23,944.23,944.23
Banknifty,30-11-2000,0:00:00,941.08,941.08,941.08,941.08
Banknifty,01-12-2000,0:00:00,946.47,946.47,946.47,946.47
Banknifty,04-12-2000,0:00:00,961.92,961.92,961.92,961.92
Banknifty,05-12-2000,0:00:00,963.8,963.8,963.8,963.8
Banknifty,06-12-2000,0:00:00,963.58,963.58,963.58,963.58
Banknifty,07-12-2000,0:00:00,967.87,967.87,967.87,967.87
Banknifty,08-12-2000,0:00:00,992.82,992.82,992.82,992.82
Banknifty,11-12-2000,0:00:00,998.67,998.67,998.67,998.67
Banknifty,12-12-2000,0:00:00,994.74,994.74,994.74,994.74
Banknifty,13-12-2000,0:00:00,1018.01,1018.01,1018.01,1018.01
Banknifty,14-12-2000,0:00:00,1002.51,1002.51,1002.51,1002.51
Banknifty,15-12-2000,0:00:00,973.55,973.55,973.55,973.55
Banknifty,18-12-2000,0:00:00,970.5,970.5,970.5,970.5
Banknifty,19-12-2000,0:00:00,979.06,979.06,979.06,979.06
Banknifty,20-12-2000,0:00:00,984.64,984.64,984.64,984.64
Banknifty,21-12-2000,0:00:00,969.73,969.73,969.73,969.73
Banknifty,22-12-2000,0:00:00,947.68,947.68,947.68,947.68
Banknifty,26-12-2000,0:00:00,925.84,925.84,925.84,925.84
Banknifty,27-12-2000,0:00:00,936.97,936.97,936.97,936.97
Banknifty,28-12-2000,0:00:00,961.81,961.81,961.81,961.81
Banknifty,29-12-2000,0:00:00,971.73,971.73,971.73,971.73
Banknifty,01-01-2001,0:00:00,977.94,977.94,977.94,977.94
Banknifty,02-01-2001,0:00:00,1015.79,1015.79,1015.79,1015.79
Banknifty,03-01-2001,0:00:00,1043.74,1043.74,1043.74,1043.74
Banknifty,04-01-2001,0:00:00,1034.66,1034.66,1034.66,1034.66
Banknifty,05-01-2001,0:00:00,1046.99,1046.99,1046.99,1046.99
Banknifty,08-01-2001,0:00:00,1033.98,1033.98,1033.98,1033.98
Banknifty,09-01-2001,0:00:00,1027.94,1027.94,1027.94,1027.94
Banknifty,10-01-2001,0:00:00,1031.27,1031.27,1031.27,1031.27
Banknifty,11-01-2001,0:00:00,1031.78,1031.78,1031.78,1031.78
Banknifty,12-01-2001,0:00:00,1049.51,1049.51,1049.51,1049.51
Banknifty,15-01-2001,0:00:00,1057.52,1057.52,1057.52,1057.52
Banknifty,16-01-2001,0:00:00,1068,1068,1068,1068
Banknifty,17-01-2001,0:00:00,1057.49,1057.49,1057.49,1057.49
Banknifty,18-01-2001,0:00:00,1054.72,1054.72,1054.72,1054.72
Banknifty,19-01-2001,0:00:00,1068.69,1068.69,1068.69,1068.69
Banknifty,22-01-2001,0:00:00,1073.29,1073.29,1073.29,1073.29
Banknifty,23-01-2001,0:00:00,1092.05,1092.05,1092.05,1092.05
Banknifty,24-01-2001,0:00:00,1093.67,1093.67,1093.67,1093.67
Banknifty,25-01-2001,0:00:00,1121.02,1121.02,1121.02,1121.02
Banknifty,29-01-2001,0:00:00,1085.88,1085.88,1085.88,1085.88
Banknifty,30-01-2001,0:00:00,1093.3,1093.3,1093.3,1093.3
Banknifty,31-01-2001,0:00:00,1094.08,1094.08,1094.08,1094.08
Banknifty,01-02-2001,0:00:00,1080.88,1080.88,1080.88,1080.88
Banknifty,02-02-2001,0:00:00,1102.81,1102.81,1102.81,1102.81
Banknifty,05-02-2001,0:00:00,1128.24,1128.24,1128.24,1128.24
Banknifty,06-02-2001,0:00:00,1133.67,1133.67,1133.67,1133.67
Banknifty,07-02-2001,0:00:00,1134.01,1134.01,1134.01,1134.01
Banknifty,08-02-2001,0:00:00,1177.74,1177.74,1177.74,1177.74
Banknifty,09-02-2001,0:00:00,1244.64,1244.64,1244.64,1244.64
Banknifty,12-02-2001,0:00:00,1233.36,1233.36,1233.36,1233.36
Banknifty,13-02-2001,0:00:00,1199.81,1199.81,1199.81,1199.81
Banknifty,14-02-2001,0:00:00,1202.85,1202.85,1202.85,1202.85
Banknifty,15-02-2001,0:00:00,1197.64,1197.64,1197.64,1197.64
Banknifty,16-02-2001,0:00:00,1139.75,1139.75,1139.75,1139.75
Banknifty,19-02-2001,0:00:00,1149.56,1149.56,1149.56,1149.56
Banknifty,20-02-2001,0:00:00,1143.82,1143.82,1143.82,1143.82
Banknifty,21-02-2001,0:00:00,1153.56,1153.56,1153.56,1153.56
Banknifty,22-02-2001,0:00:00,1127.75,1127.75,1127.75,1127.75
Banknifty,23-02-2001,0:00:00,1089.81,1089.81,1089.81,1089.81
Banknifty,26-02-2001,0:00:00,1090.46,1090.46,1090.46,1090.46
Banknifty,27-02-2001,0:00:00,1086.55,1086.55,1086.55,1086.55
Banknifty,28-02-2001,0:00:00,1171.65,1171.65,1171.65,1171.65
Banknifty,01-03-2001,0:00:00,1246.48,1246.48,1246.48,1246.48
Banknifty,02-03-2001,0:00:00,1238.15,1238.15,1238.15,1238.15
Banknifty,05-03-2001,0:00:00,1226.43,1226.43,1226.43,1226.43
Banknifty,07-03-2001,0:00:00,1214.78,1214.78,1214.78,1214.78
Banknifty,08-03-2001,0:00:00,1215.22,1215.22,1215.22,1215.22
Banknifty,09-03-2001,0:00:00,1184.85,1184.85,1184.85,1184.85
Banknifty,12-03-2001,0:00:00,1129.36,1129.36,1129.36,1129.36
Banknifty,13-03-2001,0:00:00,1057.11,1057.11,1057.11,1057.11
Banknifty,14-03-2001,0:00:00,1098.69,1098.69,1098.69,1098.69
Banknifty,15-03-2001,0:00:00,1117.1,1117.1,1117.1,1117.1
Banknifty,16-03-2001,0:00:00,1080.19,1080.19,1080.19,1080.19
Banknifty,19-03-2001,0:00:00,1081.65,1081.65,1081.65,1081.65
Banknifty,20-03-2001,0:00:00,1070.34,1070.34,1070.34,1070.34
Banknifty,21-03-2001,0:00:00,1084.69,1084.69,1084.69,1084.69
Banknifty,22-03-2001,0:00:00,1055.65,1055.65,1055.65,1055.65
Banknifty,23-03-2001,0:00:00,1037.46,1037.46,1037.46,1037.46
Banknifty,26-03-2001,0:00:00,1031.9,1031.9,1031.9,1031.9
Banknifty,27-03-2001,0:00:00,1027.01,1027.01,1027.01,1027.01
Banknifty,28-03-2001,0:00:00,1039.05,1039.05,1039.05,1039.05
Banknifty,29-03-2001,0:00:00,1040.9,1040.9,1040.9,1040.9
Banknifty,30-03-2001,0:00:00,991.51,991.51,991.51,991.51
Banknifty,02-04-2001,0:00:00,960.27,960.27,960.27,960.27
Banknifty,03-04-2001,0:00:00,970.45,970.45,970.45,970.45
Banknifty,04-04-2001,0:00:00,970.06,970.06,970.06,970.06
Banknifty,06-04-2001,0:00:00,968.43,968.43,968.43,968.43
Banknifty,09-04-2001,0:00:00,974.95,974.95,974.95,974.95
Banknifty,10-04-2001,0:00:00,964.02,964.02,964.02,964.02
Banknifty,11-04-2001,0:00:00,977.64,977.64,977.64,977.64
Banknifty,12-04-2001,0:00:00,963.35,963.35,963.35,963.35
Banknifty,16-04-2001,0:00:00,985.97,985.97,985.97,985.97
Banknifty,17-04-2001,0:00:00,1017.88,1017.88,1017.88,1017.88
Banknifty,18-04-2001,0:00:00,1043.69,1043.69,1043.69,1043.69
Banknifty,19-04-2001,0:00:00,1051.72,1051.72,1051.72,1051.72
Banknifty,20-04-2001,0:00:00,1039.52,1039.52,1039.52,1039.52
Banknifty,23-04-2001,0:00:00,1040.88,1040.88,1040.88,1040.88
Banknifty,24-04-2001,0:00:00,1037.48,1037.48,1037.48,1037.48
Banknifty,25-04-2001,0:00:00,1037.13,1037.13,1037.13,1037.13
Banknifty,26-04-2001,0:00:00,1040.23,1040.23,1040.23,1040.23
Banknifty,27-04-2001,0:00:00,996.95,996.95,996.95,996.95
Banknifty,30-04-2001,0:00:00,992.76,992.76,992.76,992.76
Banknifty,02-05-2001,0:00:00,1012.2,1012.2,1012.2,1012.2
Banknifty,03-05-2001,0:00:00,1003.26,1003.26,1003.26,1003.26
Banknifty,04-05-2001,0:00:00,1024.42,1024.42,1024.42,1024.42
Banknifty,07-05-2001,0:00:00,1048.21,1048.21,1048.21,1048.21
Banknifty,08-05-2001,0:00:00,1052.51,1052.51,1052.51,1052.51
Banknifty,09-05-2001,0:00:00,1041.19,1041.19,1041.19,1041.19
Banknifty,10-05-2001,0:00:00,1075.81,1075.81,1075.81,1075.81
Banknifty,11-05-2001,0:00:00,1059.34,1059.34,1059.34,1059.34
Banknifty,14-05-2001,0:00:00,1070.85,1070.85,1070.85,1070.85
Banknifty,15-05-2001,0:00:00,1063.38,1063.38,1063.38,1063.38
Banknifty,16-05-2001,0:00:00,1060.41,1060.41,1060.41,1060.41
Banknifty,17-05-2001,0:00:00,1072.46,1072.46,1072.46,1072.46
Banknifty,18-05-2001,0:00:00,1061.18,1061.18,1061.18,1061.18
Banknifty,21-05-2001,0:00:00,1049.76,1049.76,1049.76,1049.76
Banknifty,22-05-2001,0:00:00,1040.02,1040.02,1040.02,1040.02
Banknifty,23-05-2001,0:00:00,1046.15,1046.15,1046.15,1046.15
Banknifty,24-05-2001,0:00:00,1045.19,1045.19,1045.19,1045.19
Banknifty,25-05-2001,0:00:00,1030.83,1030.83,1030.83,1030.83
Banknifty,28-05-2001,0:00:00,1041.86,1041.86,1041.86,1041.86
Banknifty,29-05-2001,0:00:00,1058.39,1058.39,1058.39,1058.39
Banknifty,30-05-2001,0:00:00,1040.46,1040.46,1040.46,1040.46
Banknifty,31-05-2001,0:00:00,1034.54,1034.54,1034.54,1034.54
