Instrument,Date,Time,Open,High,Low,Close
Banknifty,09-01-2015,9:15:00,18845.9,18864,18745.6,18779.35
Banknifty,09-01-2015,11:15:00,18779.35,18783.7,18517.25,18565.95
Banknifty,09-01-2015,13:15:00,18569.4,18678.35,18479.65,18663.05
Banknifty,09-01-2015,15:15:00,18663.05,18663.05,18582.9,18598.05
Banknifty,12-01-2015,9:15:00,18632,18787.7,18530.1,18725.8
Banknifty,12-01-2015,11:15:00,18725.8,18747.6,18629.3,18685.05
Banknifty,12-01-2015,13:15:00,18687.5,18817.3,18670.3,18782.2
Banknifty,12-01-2015,15:15:00,18782.2,18822.05,18778.5,18808.75
Banknifty,13-01-2015,9:15:00,18889,18920.65,18815.8,18862.9
Banknifty,13-01-2015,11:15:00,18860.4,18867.9,18801.75,18856.55
Banknifty,13-01-2015,13:15:00,18856.5,18917.05,18642.8,18715.1
Banknifty,13-01-2015,15:15:00,18715.1,18728.7,18701.55,18724.75
Banknifty,14-01-2015,9:15:00,18670.4,18769.65,18621.75,18669
Banknifty,14-01-2015,11:15:00,18670.6,18681.3,18517.9,18546.45
Banknifty,14-01-2015,13:15:00,18553.75,18677.5,18526.25,18588
Banknifty,14-01-2015,15:15:00,18588.4,18638.25,18579.85,18636.85
Banknifty,15-01-2015,9:15:00,19340.45,19410.4,19061.35,19188.55
Banknifty,15-01-2015,11:15:00,19188.55,19258.6,19164.7,19234.2
Banknifty,15-01-2015,13:15:00,19239.55,19318.8,19221.4,19299.25
Banknifty,15-01-2015,15:15:00,19302.3,19302.6,19132.05,19134.65
Banknifty,19-01-2015,9:15:00,19384.2,19434.2,19357.1,19426.4
Banknifty,19-01-2015,11:15:00,19426.4,19430.4,19332.7,19395.9
Banknifty,19-01-2015,13:15:00,19395.9,19429.8,19370.4,19410.7
Banknifty,19-01-2015,15:15:00,19410.7,19413.1,19397.1,19401.45
Banknifty,20-01-2015,9:15:00,19446.8,19577.85,19446.8,19549.35
Banknifty,20-01-2015,11:15:00,19539.5,19614.3,19520.4,19584.5
Banknifty,20-01-2015,13:15:00,19584.5,19808.25,19551.7,19743
Banknifty,20-01-2015,15:15:00,19743,19784.55,19738.45,19761.1
Banknifty,21-01-2015,9:15:00,19811.85,19964.95,19803.15,19874.7
Banknifty,21-01-2015,11:15:00,19874.7,19902.1,19827.9,19872.2
Banknifty,21-01-2015,13:15:00,19872.2,19885.95,19810.4,19854.1
Banknifty,21-01-2015,15:15:00,19854.1,19854.1,19817.75,19819.9
Banknifty,22-01-2015,9:15:00,19898.5,19937,19788.7,19890.55
Banknifty,22-01-2015,11:15:00,19890.55,19939.9,19848.8,19866.6
Banknifty,22-01-2015,13:15:00,19866.6,19915.25,19811.6,19901.1
Banknifty,22-01-2015,15:15:00,19901.15,19964.25,19896.05,19931.65
Banknifty,23-01-2015,9:15:00,20133.85,20167.65,19967.35,20053.9
Banknifty,23-01-2015,11:15:00,20053.9,20118,20016.25,20110.65
Banknifty,23-01-2015,13:15:00,20110.7,20126.05,20048.75,20077.25
Banknifty,23-01-2015,15:15:00,20077.25,20077.25,20033.15,20051.8
Banknifty,27-01-2015,9:15:00,20179.8,20239.3,20098.25,20227.75
Banknifty,27-01-2015,11:15:00,20227.75,20260.35,20174.7,20242.35
Banknifty,27-01-2015,13:15:00,20241.7,20609.25,20215.8,20588.05
Banknifty,27-01-2015,15:15:00,20588.05,20591.05,20531.4,20544.25
Banknifty,28-01-2015,9:15:00,20507.5,20617.95,20477.25,20614.9
Banknifty,28-01-2015,11:15:00,20615.85,20907.55,20603.1,20659.15
Banknifty,28-01-2015,13:15:00,20660.5,20661.45,20435,20507.6
Banknifty,28-01-2015,15:15:00,20507.6,20509.55,20449.8,20468.1
Banknifty,29-01-2015,9:15:00,20475.7,20475.7,20338.95,20412.35
Banknifty,29-01-2015,11:15:00,20412.35,20474.8,20365.55,20380.5
Banknifty,29-01-2015,13:15:00,20380.5,20579,20360.85,20531.75
Banknifty,29-01-2015,15:15:00,20531.9,20533.7,20497,20512.8
Banknifty,30-01-2015,9:15:00,20600.65,20600.65,20232.6,20261.2
Banknifty,30-01-2015,11:15:00,20261.2,20261.2,19982.6,20078.7
Banknifty,30-01-2015,13:15:00,20076.05,20095.45,19732.45,19845.25
Banknifty,30-01-2015,15:15:00,19845.25,19854.8,19805.4,19835.65
Banknifty,02-02-2015,9:15:00,19778.95,19778.95,19594.65,19660.45
Banknifty,02-02-2015,11:15:00,19657.1,19689.4,19564.5,19611.8
Banknifty,02-02-2015,13:15:00,19607.9,19991.4,19601.6,19855.65
Banknifty,02-02-2015,15:15:00,19853.95,19913.8,19838.3,19902.9
Banknifty,03-02-2015,9:15:00,19941.7,19963.7,19642.15,19918.05
Banknifty,03-02-2015,11:15:00,19915.55,19915.55,19384.25,19394.3
Banknifty,03-02-2015,13:15:00,19394.3,19539,19375,19414.25
Banknifty,03-02-2015,15:15:00,19414.25,19414.25,19303.5,19329.95
Banknifty,04-02-2015,9:15:00,19423.25,19423.25,19113.35,19234.15
Banknifty,04-02-2015,11:15:00,19234.15,19356.35,19178.1,19328.4
Banknifty,04-02-2015,13:15:00,19328.4,19346.85,19182.75,19185.55
Banknifty,04-02-2015,15:15:00,19185.55,19185.8,19117.5,19157.05
Banknifty,05-02-2015,9:15:00,19170.15,19307.65,19102.95,19211.45
Banknifty,05-02-2015,11:15:00,19210.4,19272.45,19186,19272.45
Banknifty,05-02-2015,13:15:00,19272.45,19444.65,18990.35,19049.25
Banknifty,05-02-2015,15:15:00,19049.25,19056.65,18977.9,19047.85
Banknifty,06-02-2015,9:15:00,19066.25,19119.7,18740.35,18841.2
Banknifty,06-02-2015,11:15:00,18841.2,19027.6,18811.25,18920.5
Banknifty,06-02-2015,13:15:00,18920.5,18976.5,18751.45,18774.6
Banknifty,06-02-2015,15:15:00,18774.6,18806.7,18744.1,18788.3
Banknifty,09-02-2015,9:15:00,18650,18650.6,18499.3,18520.85
Banknifty,09-02-2015,11:15:00,18521.1,18650.2,18521.1,18627.55
Banknifty,09-02-2015,13:15:00,18627.55,18667.05,18394.55,18407.1
Banknifty,09-02-2015,15:15:00,18409.6,18426.65,18379.6,18409.9
Banknifty,10-02-2015,9:15:00,18242.95,18830.8,18226.9,18811.35
Banknifty,10-02-2015,11:15:00,18811.9,18933.7,18662.45,18714.1
Banknifty,10-02-2015,13:15:00,18714.1,18783.45,18409.9,18693.7
Banknifty,10-02-2015,15:15:00,18693.7,18819.85,18689.9,18803.7
Banknifty,11-02-2015,9:15:00,18890.75,19041.15,18890.75,18974.2
Banknifty,11-02-2015,11:15:00,18971.95,19015.6,18913.6,18987.35
Banknifty,11-02-2015,13:15:00,18985.9,19051.8,18909.7,18940.2
Banknifty,11-02-2015,15:15:00,18940.2,18958.15,18913.85,18929.05
Banknifty,12-02-2015,9:15:00,19073.45,19073.45,18795.6,18847.1
Banknifty,12-02-2015,11:15:00,18847.1,18847.75,18739.85,18780.8
Banknifty,12-02-2015,13:15:00,18781.7,19176.8,18757.35,19168.35
Banknifty,12-02-2015,15:15:00,19168.35,19174.2,19130.05,19164.55
Banknifty,13-02-2015,9:15:00,19284.3,19296.75,19164.25,19212.65
Banknifty,13-02-2015,11:15:00,19212.65,19378.7,19196.3,19325.65
Banknifty,13-02-2015,13:15:00,19325.65,19441,19310.45,19365.1
Banknifty,13-02-2015,15:15:00,19364.3,19368.05,19323.8,19353.2
Banknifty,16-02-2015,9:15:00,19518.85,19532.7,19389.65,19389.65
Banknifty,16-02-2015,11:15:00,19389.65,19406.55,19250.4,19288.45
Banknifty,16-02-2015,13:15:00,19288.45,19382.1,19175.8,19176.75
Banknifty,16-02-2015,15:15:00,19173.15,19173.15,19127.15,19156.75
Banknifty,18-02-2015,9:15:00,19226.4,19311.7,19171.9,19262.05
Banknifty,18-02-2015,11:15:00,19259.95,19289.1,19186.15,19256.9
Banknifty,18-02-2015,13:15:00,19257.2,19389.8,19213.5,19292.85
