Instrument,Date,Time,Open,High,Low,Close
Banknifty,09-01-2015,9:15:00,18845.9,18864,18570.85,18616.35
Banknifty,09-01-2015,12:15:00,18616.35,18678.35,18479.65,18663.05
Banknifty,09-01-2015,15:15:00,18663.05,18663.05,18582.9,18598.05
Banknifty,12-01-2015,9:15:00,18632,18787.7,18530.1,18685.75
Banknifty,12-01-2015,12:15:00,18684.25,18817.3,18629.3,18782.2
Banknifty,12-01-2015,15:15:00,18782.2,18822.05,18778.5,18808.75
Banknifty,13-01-2015,9:15:00,18889,18920.65,18813.8,18844.9
Banknifty,13-01-2015,12:15:00,18844.9,18917.05,18642.8,18715.1
Banknifty,13-01-2015,15:15:00,18715.1,18728.7,18701.55,18724.75
Banknifty,14-01-2015,9:15:00,18670.4,18769.65,18595.5,18600.85
Banknifty,14-01-2015,12:15:00,18600.85,18677.5,18517.9,18588
Banknifty,14-01-2015,15:15:00,18588.4,18638.25,18579.85,18636.85
Banknifty,15-01-2015,9:15:00,19340.45,19410.4,19061.35,19185.75
Banknifty,15-01-2015,12:15:00,19185.75,19318.8,19164.7,19299.25
Banknifty,15-01-2015,15:15:00,19302.3,19302.6,19132.05,19134.65
Banknifty,19-01-2015,9:15:00,19384.2,19434.2,19357.1,19390.2
Banknifty,19-01-2015,12:15:00,19390.2,19429.8,19332.7,19410.7
Banknifty,19-01-2015,15:15:00,19410.7,19413.1,19397.1,19401.45
Banknifty,20-01-2015,9:15:00,19446.8,19577.85,19446.8,19546.5
Banknifty,20-01-2015,12:15:00,19546.5,19808.25,19544.3,19743
Banknifty,20-01-2015,15:15:00,19743,19784.55,19738.45,19761.1
Banknifty,21-01-2015,9:15:00,19811.85,19964.95,19803.15,19870.95
Banknifty,21-01-2015,12:15:00,19872.15,19885.95,19810.4,19854.1
Banknifty,21-01-2015,15:15:00,19854.1,19854.1,19817.75,19819.9
Banknifty,22-01-2015,9:15:00,19898.5,19939.9,19788.7,19911.85
Banknifty,22-01-2015,12:15:00,19916.25,19923.5,19811.6,19901.1
Banknifty,22-01-2015,15:15:00,19901.15,19964.25,19896.05,19931.65
Banknifty,23-01-2015,9:15:00,20133.85,20167.65,19967.35,20049.65
Banknifty,23-01-2015,12:15:00,20049.65,20126.05,20045,20077.25
Banknifty,23-01-2015,15:15:00,20077.25,20077.25,20033.15,20051.8
Banknifty,27-01-2015,9:15:00,20179.8,20260.35,20098.25,20204
Banknifty,27-01-2015,12:15:00,20204,20609.25,20195.75,20588.05
Banknifty,27-01-2015,15:15:00,20588.05,20591.05,20531.4,20544.25
Banknifty,28-01-2015,9:15:00,20507.5,20764.15,20477.25,20745.85
Banknifty,28-01-2015,12:15:00,20747.65,20907.55,20435,20507.6
Banknifty,28-01-2015,15:15:00,20507.6,20509.55,20449.8,20468.1
Banknifty,29-01-2015,9:15:00,20475.7,20475.7,20338.95,20462.35
